0.0,0.0,0.0,0.0,0.0,0.0
-0.0001,-0.0002,0.0008,0.0001,0.001,0.0008
-0.0003,-0.0006,0.0031,0.0003,0.004,0.0033
-0.0007,-0.0014,0.0069,0.0007,0.009,0.0074
-0.0013,-0.0025,0.0123,0.0012,0.016,0.0131
-0.0021,-0.0039,0.0192,0.0018,0.025,0.0205
-0.003,-0.0056,0.0276,0.0027,0.036,0.0295
-0.004,-0.0076,0.0376,0.0036,0.049,0.0402
-0.0053,-0.0099,0.0491,0.0047,0.064,0.0525
-0.0067,-0.0125,0.0621,0.006,0.081,0.0665
-0.0082,-0.0155,0.0767,0.0074,0.1,0.082
-0.0099,-0.0187,0.0926,0.0089,0.1207,0.099
-0.0117,-0.0219,0.1087,0.0105,0.1417,0.1162
-0.0134,-0.0252,0.1247,0.012,0.1626,0.1334
-0.0151,-0.0284,0.1408,0.0136,0.1836,0.1506
-0.0168,-0.0317,0.1569,0.0151,0.2045,0.1678
-0.0186,-0.0349,0.1729,0.0167,0.2254,0.185
-0.0203,-0.0381,0.189,0.0182,0.2464,0.2021
-0.022,-0.0414,0.2051,0.0198,0.2673,0.2193
-0.0237,-0.0446,0.2211,0.0213,0.2883,0.2365
-0.0254,-0.0479,0.2372,0.0229,0.3092,0.2537
-0.0272,-0.0511,0.2533,0.0244,0.3302,0.2709
-0.0289,-0.0544,0.2693,0.026,0.3511,0.2881
-0.0306,-0.0576,0.2854,0.0275,0.372,0.3052
-0.0323,-0.0608,0.3015,0.0291,0.393,0.3224
-0.0341,-0.0641,0.3175,0.0306,0.4139,0.3396
-0.0358,-0.0673,0.3336,0.0322,0.4349,0.3568
-0.0375,-0.0706,0.3497,0.0337,0.4558,0.374
-0.0392,-0.0738,0.3657,0.0353,0.4768,0.3912
-0.041,-0.077,0.3818,0.0368,0.4977,0.4083
-0.0427,-0.0803,0.3979,0.0384,0.5187,0.4255
-0.0444,-0.0835,0.4139,0.0399,0.5396,0.4427
-0.0461,-0.0868,0.43,0.0415,0.5605,0.4599
-0.0479,-0.09,0.4461,0.043,0.5815,0.4771
-0.0496,-0.0933,0.4621,0.0446,0.6024,0.4943
-0.0513,-0.0965,0.4782,0.0461,0.6234,0.5114
-0.053,-0.0997,0.4943,0.0477,0.6443,0.5286
-0.0547,-0.103,0.5103,0.0492,0.6653,0.5458
-0.0565,-0.1062,0.5264,0.0508,0.6862,0.563
-0.0582,-0.1095,0.5425,0.0523,0.7072,0.5802
-0.0599,-0.1127,0.5585,0.0539,0.7281,0.5973
-0.0616,-0.116,0.5746,0.0554,0.749,0.6145
-0.0634,-0.1192,0.5906,0.0569,0.77,0.6317
-0.0651,-0.1224,0.6067,0.0585,0.7909,0.6489
-0.0668,-0.1257,0.6228,0.06,0.8119,0.6661
-0.0685,-0.1289,0.6388,0.0616,0.8328,0.6832
-0.0701,-0.1319,0.6537,0.063,0.8522,0.6992
-0.0716,-0.1346,0.6672,0.0643,0.8697,0.7135
-0.0728,-0.137,0.679,0.0655,0.8852,0.7262
-0.074,-0.1391,0.6894,0.0665,0.8987,0.7373
-0.0749,-0.1409,0.6982,0.0673,0.9102,0.7467
-0.0757,-0.1424,0.7054,0.068,0.9196,0.7545
-0.0763,-0.1435,0.7112,0.0686,0.9271,0.7606
-0.0767,-0.1444,0.7154,0.069,0.9326,0.7651
-0.077,-0.1449,0.718,0.0692,0.9361,0.768
-0.0771,-0.1451,0.7192,0.0693,0.9375,0.7692
-0.0772,-0.1451,0.7192,0.0693,0.9376,0.7692
-0.0772,-0.1451,0.7192,0.0693,0.9376,0.7692
-0.0772,-0.145,0.7191,0.0694,0.9377,0.7682
-0.0775,-0.1445,0.7186,0.0695,0.9379,0.7652
-0.0779,-0.1436,0.7178,0.0696,0.9382,0.7602
-0.0785,-0.1424,0.7167,0.0698,0.9387,0.7532
-0.0793,-0.1409,0.7153,0.07,0.9393,0.7442
-0.0803,-0.139,0.7136,0.0703,0.9401,0.7332
-0.0814,-0.1367,0.7115,0.0707,0.941,0.7202
-0.0827,-0.1342,0.7092,0.0711,0.942,0.7052
-0.0842,-0.1313,0.7065,0.0716,0.9432,0.6882
-0.0858,-0.128,0.7035,0.0721,0.9445,0.6692
-0.0876,-0.1244,0.7002,0.0727,0.9459,0.6482
-0.0896,-0.1205,0.6966,0.0733,0.9475,0.6252
