-0.0,0.0001,-0.0,-0.0,-0.0001,0.0001
-0.0,-0.0001,0.0004,-0.0,0.0006,0.0011
-0.0,-0.0005,0.0019,-0.0,0.0025,0.0041
-0.0001,-0.0011,0.0044,0.0,0.0058,0.0091
-0.0001,-0.0021,0.0078,0.0001,0.0104,0.0161
-0.0002,-0.0032,0.0122,0.0001,0.0162,0.0251
-0.0002,-0.0047,0.0176,0.0002,0.0234,0.0361
-0.0003,-0.0064,0.024,0.0003,0.0319,0.0491
-0.0004,-0.0084,0.0314,0.0004,0.0417,0.0641
-0.0005,-0.0106,0.0398,0.0005,0.0528,0.0811
-0.0006,-0.0131,0.0491,0.0007,0.0652,0.1001
-0.0008,-0.0159,0.0594,0.0008,0.0789,0.1211
-0.0009,-0.0189,0.0707,0.001,0.0939,0.1441
-0.0011,-0.0222,0.083,0.0012,0.1103,0.1691
-0.0012,-0.0258,0.0963,0.0014,0.1279,0.1961
-0.0014,-0.0296,0.1105,0.0016,0.1468,0.2251
-0.0016,-0.0337,0.1258,0.0018,0.1671,0.2561
-0.0018,-0.0379,0.1415,0.002,0.188,0.2881
-0.002,-0.0421,0.1573,0.0023,0.2089,0.3202
-0.0022,-0.0463,0.1731,0.0025,0.2299,0.3523
-0.0024,-0.0505,0.1888,0.0027,0.2508,0.3844
-0.0026,-0.0548,0.2046,0.003,0.2718,0.4164
-0.0028,-0.059,0.2204,0.0032,0.2927,0.4485
-0.003,-0.0632,0.2361,0.0034,0.3137,0.4806
-0.0032,-0.0674,0.2519,0.0037,0.3346,0.5127
-0.0034,-0.0717,0.2677,0.0039,0.3556,0.5447
-0.0036,-0.0759,0.2834,0.0041,0.3765,0.5768
-0.0038,-0.0801,0.2992,0.0044,0.3974,0.6089
-0.004,-0.0843,0.315,0.0046,0.4184,0.641
-0.0042,-0.0886,0.3307,0.0048,0.4393,0.673
-0.0044,-0.0928,0.3465,0.0051,0.4603,0.7051
-0.0046,-0.097,0.3622,0.0053,0.4812,0.7372
-0.0048,-0.1012,0.378,0.0055,0.5022,0.7693
-0.005,-0.1055,0.3938,0.0058,0.5231,0.8014
-0.0052,-0.1097,0.4095,0.006,0.5441,0.8334
-0.0054,-0.1139,0.4253,0.0062,0.565,0.8655
-0.0056,-0.1181,0.4411,0.0065,0.5859,0.8976
-0.0058,-0.1223,0.4568,0.0067,0.6069,0.9297
-0.006,-0.1266,0.4726,0.0069,0.6278,0.9617
-0.0062,-0.1308,0.4884,0.0072,0.6488,0.9938
